scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,tpr@cf10,rfpr@10,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22203.0,125.0,0.9992,0.9998,0.9982,0.9982,0.9982,0.0,0.9982,0.0112,0.9982,0.0434,0.9991,0.9963,0.9991,0.9982,0.0,0.04,1.0,-0.0
ds2,static,22528.0,110.0,0.9999,1.0,0.9993,0.9997,0.9891,0.0,0.9994,0.0118,0.9997,0.048,0.9945,0.9768,0.9946,0.9891,0.0,0.1,1.0,-0.0
ds3,static,22563.0,120.0,0.7898,0.9246,0.3343,0.4486,0.1982,0.0002,0.3568,0.0152,0.4469,0.0492,0.3308,0.2416,0.599,0.1982,0.0002,8.46,1.0,-0.0
ds4,dynamic,22579.0,114.0,0.9796,0.994,0.8481,0.9139,0.6616,0.0,0.8534,0.011,0.9104,0.0454,0.7963,0.5634,0.8308,0.6616,0.0,0.62,1.0,-0.0
ds5,dynamic,20569.0,102.0,0.9987,0.9996,0.9907,0.9988,0.9959,0.016,0.9991,0.0885,0.9994,0.1959,0.9955,0.9807,0.99,0.9959,0.016,0.06,1.0,-0.0
ds6,static,20577.0,105.0,0.869,0.9507,0.2301,0.4768,0.3059,0.0179,0.5957,0.0919,0.763,0.1948,0.4665,0.2888,0.644,0.3059,0.0179,0.2,1.0,-0.0
ds7,static,23169.0,110.0,0.9049,0.9746,0.7272,0.7658,0.6855,0.0015,0.7406,0.022,0.7719,0.0601,0.8132,0.5708,0.842,0.6855,0.0015,99.56,1.0,-0.0
ds8,static,22611.0,110.0,0.9803,0.9952,0.839,0.9138,0.7412,0.0017,0.8699,0.0208,0.921,0.0568,0.8512,0.606,0.8698,0.7412,0.0017,40.62,1.0,-0.0
ALL,-,176799.0,,0.94,0.9831,0.7441,0.8245,0.6992,0.0044,0.8027,0.0329,0.8514,0.0845,0.8223,0.5884,0.8474,0.6992,0.0044,,8.0,
MACRO,-,,,0.9402,,0.7459,0.8144,0.697,,0.8016,,,,,,,,,,,
